Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Interest Income,5.551e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,18-08-2021 23:00:03
Interest Income,5.552e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,19-08-2021 23:00:03
Interest Income,5.552e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,20-08-2021 23:00:03
Interest Income,5.553e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,21-08-2021 23:00:03
Interest Income,5.554e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,22-08-2021 23:00:03
Interest Income,5.554e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,23-08-2021 23:00:04
Interest Income,5.555e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,24-08-2021 23:00:03
Interest Income,5.555e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,25-08-2021 23:00:03
Interest Income,5.556e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,26-08-2021 23:00:03
Interest Income,5.557e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,27-08-2021 23:00:04
Interest Income,5.557e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,28-08-2021 23:00:03
Interest Income,5.558e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,29-08-2021 23:00:03
Interest Income,5.558e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,30-08-2021 23:00:03
Interest Income,5.559e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,31-08-2021 23:00:03
Interest Income,5.56e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,01-09-2021 23:00:03
Interest Income,5.56e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,02-09-2021 23:00:03
Interest Income,5.561e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,03-09-2021 23:00:03
Interest Income,5.561e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,04-09-2021 23:00:03
Interest Income,5.562e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,05-09-2021 23:00:04
Interest Income,5.563e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,06-09-2021 23:00:03
Interest Income,5.563e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,07-09-2021 23:00:03
