Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT6SujpZZBtX8W0trPjZEtX6,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-18 22:00:02
NXT430QEb7uwRMRUrciCrXdnN,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-17 22:00:03
NXT2scRsqMcJyI4l20d9r0Rk5,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-16 22:00:02
NXT3l24gLahEumtbGnu9xh0wk,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-15 22:00:02
NXT1cwByJtQWKBNAdDypDdZLz,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-14 22:00:02
NXT7Yvub1Fb56H40NT5iNvB5C,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-13 22:00:02
NXT1EjDb6c3txKfCiUhEqSlsm,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-12 22:00:02
NXT76f7bMTQ3ar8zcR1Iqacf0,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-11 22:00:02
NXT1Hb9bTV3cBGYwtyziTrb68,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-10 22:00:02
NXT3yGFptpO5U9sqKEIrLgL0H,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-09 22:00:02
NXT5SFOIyIDVSyacUM4IcZzWo,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-08 22:00:02
NXT5vc3C6Vx1Bl7X5CSVMx4Wa,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-07 22:00:02
NXT2B9FDBVXcfqGASt5o7tNBY,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-06 22:00:02
NXT66h9MzcvL7SrOcCFnXTHtc,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-05 22:00:02
NXT1HzDb7S63iRXQ1VDDCTQl,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-04 22:00:02
NXT2JiG6YL4a40IusxA5IYe58,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-03 22:00:02
NXT4B1RaCSGaCyyoNwrTwAUKE,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-06-02 22:00:02
NXT4DVX62lMC1uwkwAqDX36hj,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-06-01 22:00:01
NXTxwKhvPo8pde2J84ZyzJLa,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-31 22:00:01
NXT1UnPgAsaSWm8aJ8quPYWmb,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-30 22:00:02
NXT1NsUMmjP5cFJi2y4DUaoVV,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-29 22:00:01
NXTIz4eHj5XRGd6NTe67X79S,Interest,USD,-1.12000000,-,0.00000000,$1.12,-,-,"approved / Interest",2023-05-28 22:00:02
NXT39utArVFl20dXJkGDUq4Vo,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-27 22:00:03
NXT1ZdyV5xLS7ipdP4pP4Uapi,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-26 22:00:03
NXTj9ZOs1pghDh1sOYWLv6T4,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-25 22:00:03
NXT1ZqdT6ELTfGe0p6pDGz8hI,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-24 22:00:02
NXT1MzJLjBvfU2hryPSeqWhvg,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-23 22:00:02
NXT2yv18jmPn4ralQeFEZ4CF6,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-22 22:00:03
NXT1xMdYUqf2wEbLdBGeSPkco,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-21 22:00:03
NXT5vKgONmP1C9KwPw3J7sP1y,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-20 22:00:03
NXT7V4rHG9PG265hNFUWeZruA,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-19 22:00:03
NXT2VgljDfKSSYRSXDGhyWqzd,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-18 22:00:02
NXT6KOhjXAYsKYM3Xfg2RfdiX,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-17 22:00:02
NXT15PbvIF15iXeWHqAJNHtIB,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-16 22:00:02
NXT6HY9oS1cnNVfQxNggDEHx3,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-15 22:00:02
NXTyKr4kVUtK7ykasAsw6LRJ,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-14 22:00:02
NXT3mB3PkvGOt3pOLlHTHlt8i,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-13 22:00:02
NXT3fJpF7T1uygDqNnIIZ8qfg,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-12 22:00:03
NXT7FkFl1SI4Qpthp6tLWwEyV,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-11 22:00:02
NXT395ZgTO02qeEu9Xo7jGxo8,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-10 22:00:02
NXT2GQcJS3UL5UHfpKOazkU88,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-09 22:00:02
NXT4SBjKCps1IFGuRkSxWvsU3,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-08 22:00:03
NXT5m9FqhvzYRkTYT8B7sBtG5,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-05-07 22:00:03
NXTgjpfYklorw4EJZNqV58cl,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-06 22:00:02
NXT6M1bqDAYCISQQEfNXh9EjP,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-05-05 22:00:02
NXT1tZrpkPaZCA5SVbZNLnsI0,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-04 22:00:02
NXT6x4AwOqlCXSs7KG1pmwuGA,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-05-03 22:00:02
NXT4lMP2qCX07fiNN7i5tJneL,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-05-02 22:00:02
NXTIFkCNGvgFA6XDPfWVo1L3,Interest,USD,-0.77000000,-,0.00000000,$0.77,-,-,"approved / Interest",2023-05-01 22:00:02
NXT259sxp42ekNFcacQl2TUmw,Interest,USD,-0.76000000,-,0.00000000,$0.76,-,-,"approved / Interest",2023-04-30 22:00:03
NXT7ZQMuatgzTs6jAjtwHw0sx,Interest,USD,-0.76000000,-,0.00000000,$0.76,-,-,"approved / Interest",2023-04-29 22:00:03
NXT4au5XOn2V2Bn3g2iVJq0CK,Interest,USD,-0.76000000,-,0.00000000,$0.76,-,-,"approved / Interest",2023-04-28 22:00:02
NXT2CeAOZwriWMHKeStkHGREm,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-27 22:00:03
NXT1Lk3TE6ipXgfQlprY2LiCZ,Interest,USD,-0.76000000,-,0.00000000,$0.76,-,-,"approved / Interest",2023-04-26 22:00:02
NXT6JxaFmbUOTN1Zh0pjBza8o,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-25 22:00:02
NXT61lTMXEJ3hvqXTUE9AiL4z,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-24 22:00:02
NXT4dnmYLRX58w3eK8wMZXh6B,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-23 22:00:02
NXT7XZXNufHVy7Si1yzW9YRDe,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-22 22:00:02
NXTQZejF3hz3KC9jJwZhOeYJ,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-21 22:00:02
NXTs9Vuh3mbBMVdSM3fJv0FM,Interest,USD,-1.11000000,-,0.00000000,$1.11,-,-,"approved / Interest",2023-04-20 22:00:02
NXT4RhyuhFg9G0PBylPXeA3Nx,Interest,USD,-1.10000000,-,0.00000000,$1.10,-,-,"approved / Interest",2023-04-19 22:00:02
NXT2c976D0tqC9eJqrdFATS52,Interest,USD,-1.10000000,-,0.00000000,$1.10,-,-,"approved / Interest",2023-04-18 22:00:02
NXTEE0LbvGZN930HUS2mmhGR,Interest,USD,-1.10000000,-,0.00000000,$1.10,-,-,"approved / Interest",2023-04-17 22:00:02
NXT3xArDxcpQYEUX4J2wNVvjp,Interest,USD,-1.10000000,-,0.00000000,$1.10,-,-,"approved / Interest",2023-04-16 22:00:03
NXT2zF1o1HJLEj8FiQxftng8l,Interest,USD,-1.10000000,-,0.00000000,$1.10,-,-,"approved / Interest",2023-04-15 22:00:03
NXT6HlmddcXYr4ulYm3URthO7,Interest,USD,-1.10000000,-,0.00000000,$1.10,-,-,"approved / Interest",2023-04-14 22:00:02
