Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Trade ID,Imported From,Add Date,Date
Trade,2.9,NEAR,4.7589,USDT,0.0174,NEAR,Binance US,53645554,,2303334940,Binance US CSV,2025-06-19,05-11-2023 20:50:00
Trade,598.0,NEAR,981.318,USDT,3.588,NEAR,Binance US,53645554,,2303335359,Binance US CSV,2025-06-19,05-11-2023 20:51:00
Trade,175.4,NEAR,289.0592,USDT,1.0524,NEAR,Binance US,53645554,,2303335361,Binance US CSV,2025-06-19,05-11-2023 20:51:00
Trade,1.4,NEAR,2.2974,USDT,0.0084,NEAR,Binance US,53645554,,2303335381,Binance US CSV,2025-06-19,05-11-2023 20:52:00
Trade,2.0,NEAR,3.284,USDT,0.012,NEAR,Binance US,53645554,,2303335383,Binance US CSV,2025-06-19,05-11-2023 20:52:00
Withdrawal,0.0,,2539.311484,NEAR,0.12331636,NEAR,Binance US,53645554,,2303334702,Binance US CSV,2025-06-19,05-11-2023 20:58:00
Deposit,0.1,ETH,0.0,,0.0,,Binance US,53645554,,2303900747,Binance US CSV,2025-06-19,08-11-2023 16:10:00
Deposit,5.22,ETH,0.0,,0.0,,Binance US,53645554,,2303901831,Binance US CSV,2025-06-19,08-11-2023 16:18:00
Deposit,0.0498,BTC,0.0,,0.0,,Binance US,53645554,,2303901832,Binance US CSV,2025-06-19,08-11-2023 16:18:00
Trade,1754.4042,USDT,0.0498,BTC,0.0,BNB,Binance US,53645554,,2303907277,Binance US CSV,2025-06-19,08-11-2023 16:24:00
Trade,547.7781,USDT,0.29,ETH,3.2866686,USDT,Binance US,53645554,,2303906876,Binance US CSV,2025-06-19,08-11-2023 16:26:00
Trade,1416.6675,USDT,0.75,ETH,8.500005,USDT,Binance US,53645554,,2303906877,Binance US CSV,2025-06-19,08-11-2023 16:26:00
Trade,7801.0744,USDT,4.13,ETH,46.8064464,USDT,Binance US,53645554,,2303906875,Binance US CSV,2025-06-19,08-11-2023 16:26:00
Trade,283.335,USDT,0.15,ETH,1.70001,USDT,Binance US,53645554,,2303906878,Binance US CSV,2025-06-19,08-11-2023 16:26:00
Trade,100.0,XLM,12.69,USDT,0.6,XLM,Binance US,53645554,,2303908346,Binance US CSV,2025-06-19,08-11-2023 16:33:00
Withdrawal,0.0,,99.3799057,XLM,0.0200943,XLM,Binance US,53645554,,2303906338,Binance US CSV,2025-06-19,08-11-2023 16:40:00
Trade,35.0,XLM,4.452,USDT,0.21,XLM,Binance US,53645554,,2303911556,Binance US CSV,2025-06-19,08-11-2023 16:41:00
