Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,8398.2928,FUD,0.0,,0.0,,Koinly,,,19-12-2023 19:16:56
Deposit,253.906305222,SUI,0.0,,0.0,,Koinly,,,19-12-2023 19:17:48
Deposit,133494613.2099,FUD,0.0,,0.0,,Koinly,,,19-12-2023 19:17:48
Deposit,263837002.72651,FUD,0.0,,0.0,,Koinly,,,19-12-2023 19:19:09
Withdrawal,0.0,,100.0,USDCET,0.0,,Koinly,SUI,,19-12-2023 19:19:09
Withdrawal,0.0,,0.002764596,SUI,0.0,,Koinly,SUI,,19-12-2023 19:19:09
Withdrawal,0.0,,500.00972104,SUI,0.0,,Koinly,SUI,,20-12-2023 05:10:04
Withdrawal,0.0,,199999999.99945,FUD,0.0,,Koinly,SUI,,20-12-2023 05:11:18
Withdrawal,0.0,,92.312870949,SUI,0.0,,Koinly,SUI,,20-12-2023 05:11:18
Trade,148.798084824,SUI,98.0,USDCET,0.0,,Koinly,SUI,,20-12-2023 05:11:57
Withdrawal,0.0,,208.675182,USDCET,0.0,,Koinly,SUI,,20-12-2023 05:12:18
Withdrawal,0.0,,316.448208438,SUI,0.0,,Koinly,SUI,,20-12-2023 05:12:18
Withdrawal,0.0,,57.20874292,SUI,0.0,,Koinly,SUI,,20-12-2023 05:12:55
Deposit,1329828.01586,FUD,0.0,,0.0,,Koinly,,,20-12-2023 16:47:47
Deposit,0.315969016,SUI,0.0,,0.0,,Koinly,,,20-12-2023 16:47:47
Deposit,54.925669635,SUI,0.0,,0.0,,Koinly,,,20-12-2023 16:49:56
Deposit,284002577.76888,FUD,0.0,,0.0,,Koinly,,,20-12-2023 16:49:56
Deposit,98.885153937,SUI,0.0,,0.0,,Koinly,,,20-12-2023 16:51:25
Withdrawal,0.0,,242390444.5237,FUD,0.0,,Koinly,SUI,,20-12-2023 16:51:25
Withdrawal,0.0,,242390444.5237,FUD,0.0,,Koinly,SUI,,20-12-2023 16:51:54
Deposit,67.961334,USDCET,0.0,,0.0,,Koinly,,,20-12-2023 16:51:54
Deposit,0.008461244,SUI,0.0,,0.0,,Koinly,,,20-12-2023 16:51:54
Withdrawal,0.0,,67.961334,USDCET,0.0,,Koinly,SUI,,20-12-2023 16:52:19
Withdrawal,0.0,,23.987522394,SUI,0.0,,Koinly,SUI,,20-12-2023 16:52:19
Trade,45.988415,USDCET,65.17282372,SUI,0.0,,Koinly,SUI,,20-12-2023 16:53:42
Withdrawal,0.0,,45.988415,USDCET,0.0,,Koinly,SUI,,20-12-2023 16:54:03
Withdrawal,0.0,,16.245566637,SUI,0.0,,Koinly,SUI,,20-12-2023 16:54:03
Withdrawal,0.0,,48.00972104,SUI,0.0,,Koinly,SUI,,20-12-2023 16:54:21
Deposit,2.493713211,SUI,0.0,,0.0,,Koinly,,,20-12-2023 20:48:10
Deposit,1.017965,USDCET,0.0,,0.0,,Koinly,,,20-12-2023 20:48:10
Deposit,2.482639977,SUI,0.0,,0.0,,Koinly,,,21-12-2023 14:50:36
Deposit,0.710893,USDCET,0.0,,0.0,,Koinly,,,21-12-2023 14:50:36
Deposit,0.172722,USDCET,0.0,,0.0,,Koinly,,,21-12-2023 19:09:39
Deposit,0.41100005,SUI,0.0,,0.0,,Koinly,,,21-12-2023 19:09:39
Deposit,0.495871,USDCET,0.0,,0.0,,Koinly,,,22-12-2023 14:51:23
Deposit,2.188448736,SUI,0.0,,0.0,,Koinly,,,22-12-2023 14:51:23
Deposit,2.24506,USDCET,0.0,,0.0,,Koinly,,,24-12-2023 17:10:28
Deposit,6.476966534,SUI,0.0,,0.0,,Koinly,,,24-12-2023 17:10:28
