ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
C28F67EF9FA0E4F733946BAAA18F5451,,2025-03-10 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.270774,ADA;1865,0.0,,0.0,,0.0,,0.1867369667,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 543
E6CC893471B2CD750EA447ACAACD7369,,2025-03-05 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.23733,ADA;1865,0.0,,0.0,,0.0,,0.2323274262,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 542
DB5C11450FA862D9E2D2A5426C007BB0,,2025-02-28 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.254537,ADA;1865,0.0,,0.0,,0.0,,0.1606427551,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 541
4AFF8A79CEEB380E50AED45266CCDFA0,,2025-02-23 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.312603,ADA;1865,0.0,,0.0,,0.0,,0.240098482,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 540
E6240E38475715CB6A1646AC9AB070CF,,2025-02-18 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.317604,ADA;1865,0.0,,0.0,,0.0,,0.2377803654,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 539
7BBA5425C7AB5B3CD54994004F031295,,2025-02-13 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.352574,ADA;1865,0.0,,0.0,,0.0,,0.2871510292,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 538
9ADFBA88D565CBF8BED95A28238A2512,,2025-02-08 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.279618,ADA;1865,0.0,,0.0,,0.0,,0.1963354007,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 537
27453CC7BC588A805178213CECCC2BDA,,2025-02-03 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.250043,ADA;1865,0.0,,0.0,,0.0,,0.1999558282,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 536
CFE7C5D544A4BEAD08D441010938BD6D,,2025-01-29 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.289903,ADA;1865,0.0,,0.0,,0.0,,0.2769415422,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 535
DFDE8D37CFCF281F8E004EFBC3975EA0,,2025-01-24 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.273,ADA;1865,0.0,,0.0,,0.0,,0.2662934587,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 534
