Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Withdrawal,0.0,,477.1534975,NEAR,0.16530252,NEAR,Binance US,53645554,,14-10-2023 01:04:00
Deposit,711.932848,USDT,0.0,,0.0,,Binance US,53645554,,14-10-2023 22:12:00
Trade,2440.0,IOTA,356.24,USDT,9.76,IOTA,Binance US,53645554,,14-10-2023 23:48:00
Trade,2397.0,IOTA,349.962,USDT,9.588,IOTA,Binance US,53645554,,14-10-2023 23:49:00
Trade,43.0,IOTA,6.278,USDT,0.172,IOTA,Binance US,53645554,,14-10-2023 23:56:00
Withdrawal,0.0,,4859.296908,IOTA,1.183092,IOTA,Binance US,53645554,,15-10-2023 00:18:00
Deposit,679.98186,USDT,0.0,,0.0,,Binance US,53645554,,20-10-2023 17:28:00
Deposit,524.02105,USDT,0.0,,0.0,,Binance US,53645554,,21-10-2023 02:04:00
Trade,31.6,NEAR,31.6632,USDT,0.1896,NEAR,Binance US,53645554,,21-10-2023 02:28:00
Trade,471.4,NEAR,473.2856,USDT,2.8284,NEAR,Binance US,53645554,,21-10-2023 02:28:00
Trade,11.0,NEAR,11.044,USDT,0.066,NEAR,Binance US,53645554,,21-10-2023 02:30:00
Trade,4775.0,IOTA,687.6,USDT,19.1,IOTA,Binance US,53645554,,21-10-2023 03:00:00
Withdrawal,0.0,,4754.651718,IOTA,1.248282,IOTA,Binance US,53645554,,21-10-2023 03:12:00
Withdrawal,0.0,,510.7402434,NEAR,0.17575665,NEAR,Binance US,53645554,,21-10-2023 03:18:00
Deposit,4192.8389,USDT,0.0,,0.0,,Binance US,53645554,,05-11-2023 20:36:00
Trade,641.6,NEAR,1052.224,USDT,3.8496,NEAR,Binance US,53645554,,05-11-2023 20:42:00
Trade,92.0,NEAR,150.972,USDT,0.368,NEAR,Binance US,53645554,,05-11-2023 20:43:00
Trade,46.0,NEAR,75.486,USDT,0.184,NEAR,Binance US,53645554,,05-11-2023 20:43:00
Trade,23.0,NEAR,37.743,USDT,0.092,NEAR,Binance US,53645554,,05-11-2023 20:44:00
Trade,11.6,NEAR,19.0356,USDT,0.0464,NEAR,Binance US,53645554,,05-11-2023 20:46:00
Trade,164.9,NEAR,270.6009,USDT,0.6596,NEAR,Binance US,53645554,,05-11-2023 20:47:00
Trade,141.3,NEAR,231.8733,USDT,0.5652,NEAR,Binance US,53645554,,05-11-2023 20:47:00
Trade,162.5,NEAR,266.6625,USDT,0.975,NEAR,Binance US,53645554,,05-11-2023 20:49:00
Trade,5.7,NEAR,9.3537,USDT,0.0342,NEAR,Binance US,53645554,,05-11-2023 20:49:00
Trade,217.2,NEAR,357.9456,USDT,1.3032,NEAR,Binance US,53645554,,05-11-2023 20:49:00
Trade,268.3,NEAR,440.5486,USDT,1.6098,NEAR,Binance US,53645554,,05-11-2023 20:50:00
Trade,2.9,NEAR,4.7589,USDT,0.0174,NEAR,Binance US,53645554,,05-11-2023 20:50:00
Trade,598.0,NEAR,981.318,USDT,3.588,NEAR,Binance US,53645554,,05-11-2023 20:51:00
Trade,175.4,NEAR,289.0592,USDT,1.0524,NEAR,Binance US,53645554,,05-11-2023 20:51:00
Trade,1.4,NEAR,2.2974,USDT,0.0084,NEAR,Binance US,53645554,,05-11-2023 20:52:00
Trade,2.0,NEAR,3.284,USDT,0.012,NEAR,Binance US,53645554,,05-11-2023 20:52:00
Withdrawal,0.0,,2539.311484,NEAR,0.12331636,NEAR,Binance US,53645554,,05-11-2023 20:58:00
Deposit,0.1,ETH,0.0,,0.0,,Binance US,53645554,,08-11-2023 16:10:00
Deposit,5.22,ETH,0.0,,0.0,,Binance US,53645554,,08-11-2023 16:18:00
Deposit,0.0498,BTC,0.0,,0.0,,Binance US,53645554,,08-11-2023 16:18:00
Trade,1754.4042,USDT,0.0498,BTC,0.0,BNB,Binance US,53645554,,08-11-2023 16:24:00
Trade,547.7781,USDT,0.29,ETH,3.2866686,USDT,Binance US,53645554,,08-11-2023 16:26:00
Trade,1416.6675,USDT,0.75,ETH,8.500005,USDT,Binance US,53645554,,08-11-2023 16:26:00
Trade,7801.0744,USDT,4.13,ETH,46.8064464,USDT,Binance US,53645554,,08-11-2023 16:26:00
Trade,283.335,USDT,0.15,ETH,1.70001,USDT,Binance US,53645554,,08-11-2023 16:26:00
Trade,100.0,XLM,12.69,USDT,0.6,XLM,Binance US,53645554,,08-11-2023 16:33:00
Withdrawal,0.0,,99.3799057,XLM,0.0200943,XLM,Binance US,53645554,,08-11-2023 16:40:00
Trade,35.0,XLM,4.452,USDT,0.21,XLM,Binance US,53645554,,08-11-2023 16:41:00
Trade,34.0,XLM,4.3248,USDT,0.204,XLM,Binance US,53645554,,08-11-2023 16:41:00
Trade,410.0,XLM,52.152,USDT,2.46,XLM,Binance US,53645554,,08-11-2023 16:41:00
Trade,184.0,XLM,23.4232,USDT,0.736,XLM,Binance US,53645554,,08-11-2023 16:41:00
Trade,1000.0,HBAR,59.8,USDT,6.0,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,9707.0,HBAR,580.4786,USDT,58.242,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,3293.0,HBAR,197.2507,USDT,19.758,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,742.0,HBAR,44.3716,USDT,4.452,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,3714.0,HBAR,222.0972,USDT,22.284,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,1000.0,HBAR,59.9,USDT,6.0,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,1000.0,HBAR,59.8,USDT,6.0,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,3392.0,HBAR,202.8416,USDT,20.352,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,458.0,HBAR,27.3884,USDT,2.748,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,187.0,HBAR,11.1826,USDT,1.122,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,507.0,HBAR,30.3186,USDT,3.042,HBAR,Binance US,53645554,,08-11-2023 16:43:00
Trade,300.0,HBAR,17.97,USDT,1.8,HBAR,Binance US,53645554,,08-11-2023 16:45:00
Trade,3326.0,XLM,425.0628,USDT,19.956,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,410.0,XLM,52.357,USDT,2.46,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,1224.0,XLM,156.3048,USDT,7.344,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,40.0,XLM,5.112,USDT,0.24,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,2448.0,XLM,312.3648,USDT,14.688,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,410.0,XLM,52.316,USDT,2.46,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,33.0,XLM,4.2042,USDT,0.198,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,515.0,XLM,65.714,USDT,3.09,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,1594.0,XLM,203.5538,USDT,9.564,XLM,Binance US,53645554,,08-11-2023 16:48:00
Trade,4425.0,XLM,565.0725,USDT,26.55,XLM,Binance US,53645554,,08-11-2023 16:51:00
Trade,519.1,NEAR,767.2298,USDT,3.1146,NEAR,Binance US,53645554,,08-11-2023 16:53:00
Trade,388.5,NEAR,578.865,USDT,1.554,NEAR,Binance US,53645554,,08-11-2023 16:53:00
Trade,8.9,NEAR,13.2432,USDT,0.0534,NEAR,Binance US,53645554,,08-11-2023 16:53:00
Trade,607.7,NEAR,898.7883,USDT,3.6462,NEAR,Binance US,53645554,,08-11-2023 16:53:00
